id,nombre,estado,detalle,values_updated_at,filas
204,Generación programada PHF3 Importación Portugal,ok,,2026-08-12T14:20:38.000+02:00,19
205,Generación programada PHF3 Importación Marruecos,vacio,sin valores (aún no publicado),,0
206,Generación programada PHF3 Importación Andorra,vacio,sin valores (aún no publicado),,0
207,Generación programada PHF3 Exportación Francia,ok,,2026-08-12T14:20:38.000+02:00,38
208,Generación programada PHF3 Exportación Portugal,ok,,2026-08-12T14:20:38.000+02:00,48
209,Generación programada PHF3 Exportación Marruecos,ok,,2026-08-12T14:20:38.000+02:00,48
210,Generación programada PHF3 Exportación Andorra,ok,,2026-08-12T14:20:38.000+02:00,48
215,Generación programada PHF4 Hulla antracita Anexo II RD 134/2010,vacio,sin valores (aún no publicado),,0
216,Generación programada PHF4 Hulla sub-bituminosa Anexo II RD 134/2010,vacio,sin valores (aún no publicado),,0
246,Generación programada PHF5 Hidráulica UGH,vacio,sin valores (aún no publicado),,0
247,Generación programada PHF5 Hidráulica no UGH,vacio,sin valores (aún no publicado),,0
248,Generación programada PHF5 Turbinación bombeo,vacio,sin valores (aún no publicado),,0
249,Generación programada PHF5 Nuclear,vacio,sin valores (aún no publicado),,0
250,Generación programada PHF5 Hulla antracita Anexo II RD 134/2010,vacio,sin valores (aún no publicado),,0
251,Generación programada PHF5 Hulla sub-bituminosa Anexo II RD 134/2010,vacio,sin valores (aún no publicado),,0
252,Generación programada PHF5 Hulla antracita,vacio,sin valores (aún no publicado),,0
253,Generación programada PHF5 Hulla sub-bituminosa,vacio,sin valores (aún no publicado),,0
254,Generación programada PHF5 Ciclo combinado,vacio,sin valores (aún no publicado),,0
255,Generación programada PHF5 Fuel,vacio,sin valores (aún no publicado),,0
256,Generación programada PHF5 Gas Natural - Turbina de vapor,vacio,sin valores (aún no publicado),,0
257,Generación programada PHF5 Eólica terrestre,vacio,sin valores (aún no publicado),,0
258,Generación programada PHF5 Eólica marina,vacio,sin valores (aún no publicado),,0
259,Generación programada PHF5 Solar fotovoltaica,vacio,sin valores (aún no publicado),,0
260,Generación programada PHF5 Solar térmica,vacio,sin valores (aún no publicado),,0
261,Generación programada PHF5 Océano y geotérmica,vacio,sin valores (aún no publicado),,0
262,Generación programada PHF5 Gas Natural Cogeneración,vacio,sin valores (aún no publicado),,0
263,Generación programada PHF5 Derivados del petróleo ó carbón,vacio,sin valores (aún no publicado),,0
264,Generación programada PHF5 Subproductos minería,vacio,sin valores (aún no publicado),,0
265,Generación programada PHF5 Energía residual,vacio,sin valores (aún no publicado),,0
266,Generación programada PHF5 Biomasa,vacio,sin valores (aún no publicado),,0
267,Generación programada PHF5 Biogás,vacio,sin valores (aún no publicado),,0
268,Generación programada PHF5 Residuos domésticos y similares,vacio,sin valores (aún no publicado),,0
269,Generación programada PHF5 Residuos varios,vacio,sin valores (aún no publicado),,0
270,Generación programada PHF5 Consumo bombeo,vacio,sin valores (aún no publicado),,0
271,Generación programada PHF5 Enlace Baleares,vacio,sin valores (aún no publicado),,0
272,Generación programada PHF5 Genéricas,vacio,sin valores (aún no publicado),,0
273,Generación programada PHF5 Importación Francia,vacio,sin valores (aún no publicado),,0
274,Generación programada PHF5 Importación Portugal,vacio,sin valores (aún no publicado),,0
275,Generación programada PHF5 Importación Marruecos,vacio,sin valores (aún no publicado),,0
276,Generación programada PHF5 Importación Andorra,vacio,sin valores (aún no publicado),,0
277,Generación programada PHF5 Exportación Francia,vacio,sin valores (aún no publicado),,0
278,Generación programada PHF5 Exportación Portugal,vacio,sin valores (aún no publicado),,0
279,Generación programada PHF5 Exportación Marruecos,vacio,sin valores (aún no publicado),,0
280,Generación programada PHF5 Exportación Andorra,vacio,sin valores (aún no publicado),,0
281,Generación programada PHF6 Hidráulica UGH,vacio,sin valores (aún no publicado),,0
282,Generación programada PHF6 Hidráulica no UGH,vacio,sin valores (aún no publicado),,0
283,Generación programada PHF6 Turbinación bombeo,vacio,sin valores (aún no publicado),,0
284,Generación programada PHF6 Nuclear,vacio,sin valores (aún no publicado),,0
285,Generación programada PHF6 Hulla antracita Anexo II RD 134/2010,vacio,sin valores (aún no publicado),,0
286,Generación programada PHF6 Hulla sub-bituminosa Anexo II RD 134/2010,vacio,sin valores (aún no publicado),,0
287,Generación programada PHF6 Hulla antracita,vacio,sin valores (aún no publicado),,0
288,Generación programada PHF6 Hulla sub-bituminosa,vacio,sin valores (aún no publicado),,0
289,Generación programada PHF6 Ciclo combinado,vacio,sin valores (aún no publicado),,0
290,Generación programada PHF6 Fuel,vacio,sin valores (aún no publicado),,0
291,Generación programada PHF6 Gas Natural - Turbina de vapor,vacio,sin valores (aún no publicado),,0
292,Generación programada PHF6 Eólica terrestre,vacio,sin valores (aún no publicado),,0
293,Generación programada PHF6 Eólica marina,vacio,sin valores (aún no publicado),,0
294,Generación programada PHF6 Solar fotovoltaica,vacio,sin valores (aún no publicado),,0
295,Generación programada PHF6 Solar térmica,vacio,sin valores (aún no publicado),,0
296,Generación programada PHF6 Océano y geotérmica,vacio,sin valores (aún no publicado),,0
297,Generación programada PHF6 Gas Natural Cogeneración,vacio,sin valores (aún no publicado),,0
298,Generación programada PHF6 Derivados del petróleo ó carbón,vacio,sin valores (aún no publicado),,0
299,Generación programada PHF6 Subproductos minería,vacio,sin valores (aún no publicado),,0
300,Generación programada PHF6 Energía residual,vacio,sin valores (aún no publicado),,0
301,Generación programada PHF6 Biomasa,vacio,sin valores (aún no publicado),,0
302,Generación programada PHF6 Biogás,vacio,sin valores (aún no publicado),,0
303,Generación programada PHF6 Residuos domésticos y similares,vacio,sin valores (aún no publicado),,0
304,Generación programada PHF6 Residuos varios,vacio,sin valores (aún no publicado),,0
305,Generación programada PHF6 Consumo bombeo,vacio,sin valores (aún no publicado),,0
306,Generación programada PHF6 Enlace Baleares,vacio,sin valores (aún no publicado),,0
307,Generación programada PHF6 Genéricas,vacio,sin valores (aún no publicado),,0
308,Generación programada PHF6 Importación Francia,vacio,sin valores (aún no publicado),,0
309,Generación programada PHF6 Importación Portugal,vacio,sin valores (aún no publicado),,0
310,Generación programada PHF6 Importación Marruecos,vacio,sin valores (aún no publicado),,0
311,Generación programada PHF6 Importación Andorra,vacio,sin valores (aún no publicado),,0
312,Generación programada PHF6 Exportación Francia,vacio,sin valores (aún no publicado),,0
