captura,fuente,motivo
2026-08-15-2050,esios_capacidad_instalada,ausente
2026-08-15-2050,mibgas_curva,ausente
2026-08-15-2050,sendeco2_eua,ausente
2026-08-15-2139,aemet_prediccion_diaria,ausente
2026-08-15-2139,aemet_prediccion_horaria,ausente
2026-08-15-2139,aemet_prediccion_periodos,ausente
2026-08-15-2139,esios_capacidad_instalada,ausente
2026-08-15-2139,mibgas_curva,ausente
2026-08-15-2139,sendeco2_eua,ausente
2026-08-15-2200,aemet_prediccion_diaria,ausente
2026-08-15-2200,aemet_prediccion_horaria,ausente
2026-08-15-2200,aemet_prediccion_periodos,ausente
2026-08-15-2200,esios_capacidad_instalada,ausente
2026-08-15-2200,mibgas_curva,ausente
2026-08-15-2200,sendeco2_eua,ausente
2026-08-15-2339,esios_capacidad_instalada,ausente
2026-08-15-2339,mibgas_curva,ausente
2026-08-15-2339,sendeco2_eua,ausente
2026-08-15-2350,aemet_prediccion_diaria,ausente
2026-08-15-2350,aemet_prediccion_horaria,ausente
2026-08-15-2350,aemet_prediccion_periodos,ausente
2026-08-15-2350,esios_capacidad_instalada,ausente
2026-08-15-2350,mibgas_curva,ausente
2026-08-15-2350,sendeco2_eua,ausente
2026-08-16-0000,aemet_prediccion_diaria,ausente
2026-08-16-0000,aemet_prediccion_horaria,ausente
2026-08-16-0000,aemet_prediccion_periodos,ausente
2026-08-16-0000,esios_capacidad_instalada,ausente
2026-08-16-0000,mibgas_curva,ausente
2026-08-16-0000,sendeco2_eua,ausente
2026-08-16-0137,aemet_prediccion_diaria,ausente
2026-08-16-0137,aemet_prediccion_horaria,ausente
2026-08-16-0137,aemet_prediccion_periodos,ausente
2026-08-16-0137,esios_capacidad_instalada,ausente
2026-08-16-0137,mibgas_curva,ausente
2026-08-16-0137,sendeco2_eua,ausente
2026-08-16-0201,aemet_prediccion_diaria,ausente
2026-08-16-0201,aemet_prediccion_horaria,ausente
2026-08-16-0201,aemet_prediccion_periodos,ausente
2026-08-16-0201,esios_capacidad_instalada,ausente
2026-08-16-0201,mibgas_curva,ausente
2026-08-16-0201,sendeco2_eua,ausente
2026-08-16-0250,esios_capacidad_instalada,ausente
2026-08-16-0250,mibgas_curva,ausente
2026-08-16-0250,sendeco2_eua,ausente
2026-08-16-0533,esios_capacidad_instalada,ausente
2026-08-16-0533,mibgas_curva,ausente
2026-08-16-0533,sendeco2_eua,ausente
2026-08-16-0550,aemet_prediccion_diaria,ausente
2026-08-16-0550,aemet_prediccion_horaria,ausente
2026-08-16-0550,aemet_prediccion_periodos,ausente
2026-08-16-0550,esios_capacidad_instalada,ausente
2026-08-16-0550,mibgas_curva,ausente
2026-08-16-0550,sendeco2_eua,ausente
2026-08-16-0704,aemet_prediccion_diaria,ausente
2026-08-16-0704,aemet_prediccion_horaria,ausente
2026-08-16-0704,aemet_prediccion_periodos,ausente
2026-08-16-0704,esios_capacidad_instalada,ausente
2026-08-16-0704,mibgas_curva,ausente
2026-08-16-0704,sendeco2_eua,ausente
2026-08-16-0850,esios_capacidad_instalada,ausente
2026-08-16-0850,mibgas_curva,ausente
2026-08-16-0850,sendeco2_eua,ausente
2026-08-16-0919,aemet_prediccion_diaria,ausente
2026-08-16-0919,aemet_prediccion_horaria,ausente
2026-08-16-0919,aemet_prediccion_periodos,ausente
2026-08-16-0919,esios_capacidad_instalada,ausente
2026-08-16-0919,mibgas_curva,ausente
2026-08-16-0919,sendeco2_eua,ausente
2026-08-16-1059,aemet_prediccion_diaria,ausente
2026-08-16-1059,aemet_prediccion_horaria,ausente
2026-08-16-1059,aemet_prediccion_periodos,ausente
2026-08-16-1059,esios_capacidad_instalada,ausente
2026-08-16-1059,mibgas_curva,ausente
2026-08-16-1059,sendeco2_eua,ausente
2026-08-16-1150,esios_capacidad_instalada,ausente
2026-08-16-1150,mibgas_curva,ausente
