captura_madrid,indicador,nombre,estado,values_updated_at,fecha_min,fecha_max,dias_cubiertos,n_periodos,suma_valores,hash_valores
2026-08-14T01:12:12+02:00,47,Generación programada PVP Eólica terrestre,ok,2026-08-13T16:33:21.000+02:00,2026-08-13T00:00:00.000+02:00,2026-08-14T23:45:00.000+02:00,2,192,183694.7,2415b2b205552c12
2026-08-14T01:12:12+02:00,49,Generación programada PVP Solar fotovoltaica,ok,2026-08-13T16:33:21.000+02:00,2026-08-13T00:00:00.000+02:00,2026-08-14T23:45:00.000+02:00,2,192,522160.4,9d1cc63bbf714f09
2026-08-14T01:12:12+02:00,50,Generación programada PVP Solar térmica,ok,2026-08-13T16:33:21.000+02:00,2026-08-13T00:00:00.000+02:00,2026-08-14T23:45:00.000+02:00,2,192,42233.5,5fe2f084c6bb1d2c
2026-08-14T01:12:12+02:00,82,Generación programada P48 Eólica terrestre,ok,2026-08-14T00:57:30.000+02:00,2026-08-13T00:00:00.000+02:00,2026-08-14T23:45:00.000+02:00,2,192,174669.0,2a4afc5b0557e600
2026-08-14T01:12:12+02:00,84,Generación programada P48 Solar fotovoltaica,ok,2026-08-14T00:57:30.000+02:00,2026-08-13T00:00:00.000+02:00,2026-08-14T23:45:00.000+02:00,2,192,523819.3,e6637aa0de9fdb7d
2026-08-14T01:12:12+02:00,85,Generación programada P48 Solar térmica,ok,2026-08-14T00:57:30.000+02:00,2026-08-13T00:00:00.000+02:00,2026-08-14T23:45:00.000+02:00,2,192,42235.1,2c703327e494e19f
2026-08-14T01:12:12+02:00,117,Generación programada PHF1 Eólica terrestre,ok,2026-08-13T17:59:01.000+02:00,2026-08-13T00:00:00.000+02:00,2026-08-14T23:45:00.000+02:00,2,192,182586.8,3a7120f3ba9e553f
2026-08-14T01:12:12+02:00,119,Generación programada PHF1 Solar fotovoltaica,ok,2026-08-13T17:59:01.000+02:00,2026-08-13T00:00:00.000+02:00,2026-08-14T23:45:00.000+02:00,2,192,525627.1,28391143ae9063ec
2026-08-14T01:12:12+02:00,120,Generación programada PHF1 Solar térmica,ok,2026-08-13T17:59:01.000+02:00,2026-08-13T00:00:00.000+02:00,2026-08-14T23:45:00.000+02:00,2,192,42736.9,f4a0dcee7ce31080
2026-08-14T01:12:12+02:00,187,Generación programada PHF3 Eólica terrestre,ok,2026-08-13T14:35:39.000+02:00,2026-08-13T12:00:00.000+02:00,2026-08-13T23:45:00.000+02:00,1,48,45098.8,bce99d8be7bbd542
2026-08-14T01:12:12+02:00,189,Generación programada PHF3 Solar fotovoltaica,ok,2026-08-13T14:35:39.000+02:00,2026-08-13T12:00:00.000+02:00,2026-08-13T23:45:00.000+02:00,1,48,196417.4,aefe336c21e44efb
2026-08-14T01:12:12+02:00,190,Generación programada PHF3 Solar térmica,ok,2026-08-13T14:35:39.000+02:00,2026-08-13T12:00:00.000+02:00,2026-08-13T23:45:00.000+02:00,1,48,15325.2,b0b8330e560a2dbb
2026-08-14T01:12:12+02:00,257,Generación programada PHF5 Eólica terrestre,vacio,,,,0,0,,
